740000329,Holmsund Himmelska Fridens Tg,63.707786,20.364039,2480,6437619,1248203
740000330,Skärhamn torg,57.991227,11.546387,1419,6854188,1539503
740000331,Delsbo Torg,61.799536,16.554056,2184,6229305,1501850
740000333,Jämjö centrum Jämjöhallen,56.191968,15.835048,1080,6778695,1436183
740000334,Orsa station,61.118932,14.621176,2034,6393428,1275519
740000335,Kållered station,57.609928,12.048619,1481,6237664,1392803
740000336,Broby busstation,56.254944,14.075654,1256,6453355,1511591
740000338,Åtvidaberg station,58.203692,16.002328,0561,6375831,1307602
740000339,Berghem station,57.466980,12.598371,1463,6200826,1406084
740000340,Åhus Järnvägsgatan,55.927021,14.302792,1290,6174004,1400644
740000341,Kivik torget,55.685117,14.225589,1291,6318745,1409190
740000342,Rydaholm station,56.986254,14.311449,0683,6178949,1392662
740000343,Brösarp bussterminal,55.727813,14.096806,1270,6429036,1489861
740000344,Kisa station,57.985383,15.633808,0513,6790841,1541110
740000345,Kilafors station,61.230969,16.570443,2183,6191170,1392546
740000346,Degeberga Skaddevägen,55.837502,14.090144,1290,6602436,1413219
740000347,Storfors station,59.533169,14.271409,1760,6373490,1502491
740000348,Hultsfred station,57.486757,15.846746,0860,6436141,1264947
740000349,Jörlanda,57.987145,11.830249,1415,6714257,1526421
740000350,Hofors centrum,60.544962,16.286548,2104,6393136,1503167
740000351,Vimmerby station,57.663155,15.858268,0884,6385418,1319539
740000353,Fritsla station,57.557844,12.789918,1463,7567157,1665134
740000354,Bergfors station,68.148675,19.781075,2584,6479548,1232309
740000355,Smögen busstation,58.357214,11.230458,1427,6479942,1233448
740000356,Kungshamn busstation,58.361434,11.249397,1427,6488663,1237221
740000357,Hunnebostrand,58.441763,11.303691,1427,6462778,1242458
740000358,Grundsund,58.213168,11.421932,1484,6624309,1312233
740000359,Ottebol station,59.696103,12.469771,1784,7168690,1637070
740000360,Lycksele Resecentrum/Station,64.595360,18.667984,2481,6572270,1465624
740000361,Örebro Södra station,59.269985,15.202329,1880,6338065,1472284
740000362,Åseda station,57.167830,15.347095,0760,6354339,1290828
740000363,Veddige station,57.266938,12.337596,1383,6591759,1291328
740000364,Årjäng Busstationen,59.394582,12.131215,1765,6445755,1492725
740000365,Rimforsa station,58.135547,15.681699,0513,6229229,1434148
740000366,Mörrum station,56.186732,14.744670,1082,6731449,1385523
740000367,Malung centrum,60.683720,13.709941,2023,6233852,1457234
740000368,Bräkne-Hoby station,56.230880,15.115697,1081,6492328,1238566
740000370,Bovallstrand,58.475372,11.322469,1427,6888910,1547065
740000371,Hassela busstation,62.110203,16.706544,2132,7328249,1879724
740000372,Haparanda station,65.827928,24.131510,2583,6479197,1403926
740000373,Tibro busstation,58.425291,14.160837,1472,7238559,1485294
740000374,Kittelfjäll,65.249429,15.490242,2462,6603688,1368468
740000375,Forshaga Centrum,59.532738,13.480348,1763,6659274,1382320
740000376,Hagfors Busstationen,60.035459,13.693684,1783,7202071,1745928
740000377,Kåge samhälle,64.832128,20.989972,2482,6931649,1518683
740000378,Fränsta station,62.496142,16.167502,2260,6412846,1440932
740000379,Aneby station,57.836233,14.810819,0604,6923330,1541008
