Kommunkod|Tätortskod|Tätortsbeteckning|lat|lng
1881|T6164|Åbytorp|59.12633244958349|15.07868388430905
1882|T5904|Askersund|58.886922611825206|14.915111852617066
1882|T5968|Hammar|58.81073276764064|14.96011582997539
1882|T6080|Olshammar|58.75893884492467|14.802863489203638
1882|T6104|Rönneshytta|58.92337739868203|15.045779867292605
1882|T6160|Zinkgruvan|58.809306392405524|15.09020308628076
1882|T6168|Åmmeberg|58.870371891532386|14.998855519795516
1882|T6172|Åsbro|58.9839996226581|15.061605154986278
1883|T6008|Karlskoga|59.31510178466802|14.491745120495807
1883|T6146|Valåsen och Labbsand|59.30327069668026|14.57324514068756
1884|T5960|Gyttorp|59.50845096008618|14.967563571206593
1884|T6060|Nora|59.51705521700484|15.025782571362996
1884|T6124|Striberg|59.545435008791664|14.932862958753317
1884|T6176|Ås|59.529565869583095|14.984531797677906
1885|T5928|Fellingsbro|59.436007916934585|15.58848285954503
1885|T5940|Frövi|59.467666651276424|15.366271143720326
1885|T5956|Gusselby|59.64415968194671|15.221656520100035
1885|T6040|Lindesberg|59.60236399590354|15.213019256606872
1885|T6092|Ramsberg|59.77723152256544|15.285884080844886
1885|T6096|Rockhammar|59.53198222905503|15.462525943039303
1885|T6120|Storå|59.71644607384943|15.144735677727851
1885|T6128|Stråssa|59.73902366059584|15.197753869852043
1885|T6148|Vedevåg|59.52680010898545|15.295268850941136
1904|T6304|Riddarhyttan|59.80821509907815|15.548148340774942
1904|T6320|Skinnskatteberg|59.82706567969447|15.694212462210077
1907|T6296|Ramnäs|59.772221670066514|16.19776755056761
1907|T6332|Surahammar|59.70593881507358|16.22856269182748
1907|T6364|Virsbo|59.87374934611472|16.05896776367034
1960|T6256|Kungsör|59.42272817109481|16.10588043707324
1960|T6360|Valskog|59.44128102595616|15.944753859937514
1961|T6224|Hallstahammar|59.61450996730267|16.23100108825829
1961|T6244|Kolbäck|59.563727121369396|16.229642068686907
1961|T6328|Strömsholm|59.520851940571575|16.251465312821296
1961|T6340|Sörstafors|59.58325275279808|16.21507258074932
1962|T6292|Norberg|60.073279337537336|15.932240006608543
1980|T6204|Barkarö|59.55357614773121|16.50190307395958
1980|T6208|Dingtuna|59.570177063655066|16.3782864658356
1980|T6210|Enhagen-Ekbacken|59.565424309722545|16.530449601098095
1980|T6236|Hökåsen|59.66254324374589|16.592032177477716
1980|T6356|Irsta|59.605021749823564|16.68711323688676
1980|T0792|Kvicksund|59.44701013340323|16.301100387355064
1980|T6266|Kärsta och Bredsdal|59.67679682967805|16.83737847385359
1980|T6260|Harkie|59.52717738594581|16.725637205714516
1980|T6262|Lycksta|59.69125139572385|16.555783214207338
1980|T6270|Malmen|59.546228960097345|16.66947147840316
1980|T6278|Munga|59.74453767721092|16.5220120343434
1980|T6324|Skultuna|59.71817472315139|16.431237511908538
1980|T6342|Tidö-Lindö|59.51336823220512|16.52964582936812
1980|T6344|Tillberga|59.68589395173336|16.619998781743686
1980|T6348|Tortuna|59.67439550274326|16.723096338248432
1980|T6376|Västerås|59.61731630229083|16.542151860573398
1980|T6382|Örtagården|59.562363176981385|16.46194300244564
1981|T6284|Möklinta|60.08071695516134|16.544132200191452
1981|T6300|Ransta|59.81144723998263|16.6371967177782
1981|T6312|Sala|59.921972458116045|16.59231500146318
1981|T6316|Salbohed|59.91098662080647|16.34412394133833
1981|T6336|Sätra brunn|59.86414969729061|16.43793340485233
1981|T6372|Västerfärnebo|59.94535145273914|16.277633737536522
1982|T6212|Fagersta|59.992496145666145|15.822898925220754
1982|T6234|Hedkärra|59.96728129980301|15.76305804591188
1983|T6248|Kolsva|59.59623970294918|15.847614229043927
1983|T6268|Köping|59.5140724750219|15.99154933609398
1983|T6280|Munktorp|59.530544559384104|16.12878729021408
1984|T6200|Arboga|59.39944063262361|15.826915152453038
1984|T6220|Götlunda|59.35398898740097|15.667172066348344
1984|T6272|Medåker|59.45448902883835|15.754543119200706
2021|T6468|Järna|60.5377483167746|14.352936242383903
2021|T6680|Nås|60.44926814290331|14.49592256146839
2021|T6682|Heden och Skansbacken|60.44626678717822|14.469834822409215
2021|T6738|Skålö|60.55059006698947|14.30162805643296
